Array_ID,sgRNA_ID,tRNA_position
YCA00002,YCG000005,1
YCA00002,YCG000006,2
YCA00002,YCG000007,3
YCA00002,YCG000008,4
YCA00003,YCG000009,1
YCA00003,YCG000010,2
YCA00003,YCG000011,3
YCA00003,YCG000012,4
YCA00004,YCG000013,1
YCA00004,YCG000014,2
YCA00004,YCG000015,3
YCA00004,YCG000016,4
YCA00005,YCG000017,1
YCA00005,YCG000018,2
YCA00005,YCG000019,3
YCA00005,YCG000020,4
YCA00006,YCG000021,1
YCA00006,YCG000022,2
YCA00006,YCG000023,3
YCA00006,YCG000024,4
YCA00008,YCG000029,1
YCA00008,YCG000030,2
YCA00008,YCG000031,3
YCA00008,YCG000032,4
YCA00010,YCG000037,1
YCA00010,YCG000038,2
YCA00010,YCG000039,3
YCA00010,YCG000040,4
YCA00013,YCG000045,1
YCA00013,YCG000046,2
YCA00013,YCG000047,3
YCA00013,YCG000048,4
YCA00014,YCG000049,1
YCA00014,YCG000050,2
YCA00014,YCG000051,3
YCA00014,YCG000052,4
YCA00016,YCG000057,1
YCA00016,YCG000058,2
YCA00016,YCG000059,3
YCA00016,YCG000060,4
YCA00017,YCG000061,1
YCA00017,YCG000062,2
YCA00017,YCG000063,3
YCA00017,YCG000064,4
YCA00018,YCG000065,1
YCA00018,YCG000066,2
YCA00018,YCG000067,3
YCA00018,YCG000068,4
YCA00020,YCG000073,1
YCA00020,YCG000074,2
YCA00020,YCG000075,3
YCA00020,YCG000076,4
YCA00023,YCG000085,1
YCA00023,YCG000086,2
YCA00023,YCG000087,3
YCA00023,YCG000088,4
YCA00027,YCG000101,1
YCA00027,YCG000102,2
YCA00027,YCG000103,3
YCA00027,YCG000104,4
YCA00028,YCG000105,1
YCA00028,YCG000106,2
YCA00028,YCG000107,3
YCA00028,YCG000108,4
YCA00029,YCG000109,1
YCA00029,YCG000110,2
YCA00029,YCG000111,3
YCA00029,YCG000112,4
YCA00031,YCG000117,1
YCA00031,YCG000118,2
YCA00031,YCG000119,3
YCA00031,YCG000120,4
YCA00033,YCG000125,1
YCA00033,YCG000126,2
YCA00033,YCG000127,3
YCA00033,YCG000128,4
YCA00034,YCG000129,1
YCA00034,YCG000130,2
YCA00034,YCG000131,3
YCA00034,YCG000132,4
YCA00038,YCG000145,1
YCA00038,YCG000146,2
YCA00038,YCG000147,3
YCA00038,YCG000148,4
YCA00039,YCG000149,1
YCA00039,YCG000150,2
YCA00039,YCG000151,3
YCA00039,YCG000152,4
YCA00041,YCG000157,1
YCA00041,YCG000158,2
YCA00041,YCG000159,3
YCA00041,YCG000160,4
YCA00042,YCG000161,1
YCA00042,YCG000162,2
YCA00042,YCG000163,3
YCA00042,YCG000164,4
YCA00046,YCG000181,1
YCA00046,YCG000182,2
YCA00046,YCG000183,3
YCA00046,YCG000184,4
YCA00047,YCG000185,1
YCA00047,YCG000186,2
YCA00047,YCG000187,3
YCA00047,YCG000188,4
YCA00048,YCG000189,1
YCA00048,YCG000190,2
YCA00048,YCG000191,3
YCA00048,YCG000192,4
YCA00049,YCG000193,1
YCA00049,YCG000194,2
YCA00049,YCG000195,3
YCA00049,YCG000196,4
YCA00050,YCG000197,1
YCA00050,YCG000198,2
YCA00050,YCG000199,3
YCA00050,YCG000200,4
YCA00051,YCG000201,1
YCA00051,YCG000202,2
YCA00051,YCG000203,3
YCA00051,YCG000204,4
YCA00052,YCG000205,1
YCA00052,YCG000206,2
YCA00052,YCG000207,3
YCA00052,YCG000208,4
YCA00053,YCG000209,1
YCA00053,YCG000210,2
YCA00053,YCG000211,3
YCA00053,YCG000212,4
YCA00054,YCG000213,1
YCA00054,YCG000214,2
YCA00054,YCG000215,3
YCA00054,YCG000216,4
YCA00055,YCG000217,1
YCA00055,YCG000218,2
YCA00055,YCG000219,3
YCA00055,YCG000220,4
YCA00058,YCG000229,1
YCA00058,YCG000230,2
YCA00058,YCG000231,3
YCA00058,YCG000232,4
YCA00059,YCG000233,1
YCA00059,YCG000234,2
YCA00059,YCG000235,3
YCA00059,YCG000236,4
YCA00060,YCG000237,1
YCA00060,YCG000238,2
YCA00060,YCG000239,3
YCA00060,YCG000240,4
YCA00061,YCG000241,1
YCA00061,YCG000242,2
YCA00061,YCG000243,3
YCA00061,YCG000244,4
YCA00062,YCG000245,1
YCA00062,YCG000246,2
YCA00062,YCG000247,3
YCA00062,YCG000248,4
YCA00063,YCG000249,1
YCA00063,YCG000250,2
YCA00063,YCG000251,3
YCA00063,YCG000252,4
YCA00064,YCG000253,1
YCA00064,YCG000254,2
YCA00064,YCG000255,3
YCA00064,YCG000256,4
YCA00065,YCG000257,1
YCA00065,YCG000258,2
YCA00065,YCG000259,3
YCA00065,YCG000260,4
YCA00066,YCG000261,1
YCA00066,YCG000262,2
YCA00066,YCG000263,3
YCA00066,YCG000264,4
YCA00067,YCG000265,1
YCA00067,YCG000266,2
YCA00067,YCG000267,3
YCA00067,YCG000268,4
