Vector_ID,Backbone,tRNA_array,U6_vector,Short_note,Vector_link,Cloned,Cloned_by,Box_1_Ago_EHA105,Transformed_valencia,Transformed_carrizo,GFP_positives
YCV00002,pCambia1300_RPS8a (GFP-nptII),YCA00002,FALSE,,,4/2/2021,Chantal,p,,,
YCV00003,pCambia1300_RPS8a (GFP-nptII),YCA00003,FALSE,,,4/2/2021,Chantal,D2,4/13/21,,
YCV00004,pCambia1300_RPS8a (GFP-nptII),YCA00004,FALSE,,,3/2/2021,Cintia,A4,4/6/21,,
YCV00005,pCambia1300_RPS8a (GFP-nptII),YCA00005,FALSE,,,4/2/2021,Chantal,D3,4/13/21,,
YCV00006,pCambia1300_RPS8a (GFP-nptII),YCA00006,FALSE,,,4/2/2021,Chantal,D4,4/13/21,,
YCV00008,pCambia1300_RPS8a (GFP-nptII),YCA00008,FALSE,,,2/22/2021,Chantal,A9,3/26/21,,
YCV00010,pCambia1300_RPS8a (GFP-nptII),YCA00010,FALSE,,,2/22/2021,Chantal,B1,4/6/21,,
YCV00013,pCambia1300_RPS8a (GFP-nptII),YCA00013,FALSE,,,3/2/2021,Cintia,A5,4/6/21,,
YCV00014,pCambia1300_RPS8a (GFP-nptII),YCA00014,FALSE,,,3/2/2021,Cintia,A6,4/6/21,,
YCV00016,pCambia1300_RPS8a (GFP-nptII),YCA00016,FALSE,,,3/2/2021,Cintia,A8,3/16/21,3/16/21,
YCV00017,pCambia1300_RPS8a (GFP-nptII),YCA00017,FALSE,,,2/22/2021,Chantal,B2,4/6/21,,
YCV00018,pCambia1300_RPS8a (GFP-nptII),YCA00018,FALSE,,,3/11/2021,Corina,C1,3/30/21,,
YCV00020,pCambia1300_RPS8a (GFP-nptII),YCA00020,FALSE,,,4/2/2021,Chantal,D5,4/13/21,,
YCV00023,pCambia1300_RPS8a (GFP-nptII),YCA00023,FALSE,,,4/2/2021,Chantal,,,,
YCV00027,pCambia1300_RPS8a (GFP-nptII),YCA00027,FALSE,,,4/2/2021,Chantal,D6,4/13/21,,
YCV00028,pCambia1300_RPS8a (GFP-nptII),YCA00028,FALSE,,,4/2/2021,Chantal,D7,4/13/21,,
YCV00029,pCambia1300_RPS8a (GFP-nptII),YCA00029,FALSE,,,4/2/2021,Chantal,p,,,
